"followed_person_id","firstname","lastname","steps","count"
471,"Judy","Robinson",2,20
471,"Judy","Robinson",3,49
471,"Judy","Robinson",4,155
471,"Judy","Robinson",5,379
477,"Larry","Butler",0,3
477,"Larry","Butler",1,10
477,"Larry","Butler",2,21
477,"Larry","Butler",3,60
477,"Larry","Butler",4,157
477,"Larry","Butler",5,390
487,"Shawn","Butler",0,6
487,"Shawn","Butler",1,14
487,"Shawn","Butler",2,43
487,"Shawn","Butler",3,113
487,"Shawn","Butler",4,298
487,"Shawn","Butler",5,594
566,"Andrea","Roberts",0,2
566,"Andrea","Roberts",1,9
566,"Andrea","Roberts",2,26
566,"Andrea","Roberts",3,80
566,"Andrea","Roberts",4,206
566,"Andrea","Roberts",5,453
600,"Mike","Cox",0,3
600,"Mike","Cox",1,14
600,"Mike","Cox",2,41
600,"Mike","Cox",3,111
600,"Mike","Cox",4,301
600,"Mike","Cox",5,593
628,"Helen","Simmons",0,2
628,"Helen","Simmons",1,7
628,"Helen","Simmons",2,16
628,"Helen","Simmons",3,36
628,"Helen","Simmons",4,102
628,"Helen","Simmons",5,288
638,"Donna","Ward",0,3
638,"Donna","Ward",1,6
638,"Donna","Ward",2,18
638,"Donna","Ward",3,54
638,"Donna","Ward",4,145
638,"Donna","Ward",5,341
648,"Jacqueline","Gonzalez",0,3
648,"Jacqueline","Gonzalez",1,8
648,"Jacqueline","Gonzalez",2,17
648,"Jacqueline","Gonzalez",3,41
648,"Jacqueline","Gonzalez",4,130
648,"Jacqueline","Gonzalez",5,310
670,"Brandon","Stewart",0,4
670,"Brandon","Stewart",1,11
670,"Brandon","Stewart",2,35
670,"Brandon","Stewart",3,108
670,"Brandon","Stewart",4,251
670,"Brandon","Stewart",5,500
736,"Andrea","Peterson",0,3
736,"Andrea","Peterson",1,11
736,"Andrea","Peterson",2,34
736,"Andrea","Peterson",3,95
736,"Andrea","Peterson",4,260
736,"Andrea","Peterson",5,532
755,"Harry","Kelly",0,1
755,"Harry","Kelly",1,4
755,"Harry","Kelly",2,15
755,"Harry","Kelly",3,45
755,"Harry","Kelly",4,118
755,"Harry","Kelly",5,312
776,"Annie","Reed",0,5
776,"Annie","Reed",1,13
776,"Annie","Reed",2,39
776,"Annie","Reed",3,105
776,"Annie","Reed",4,256
776,"Annie","Reed",5,538
794,"Florence","Ramirez",0,3
794,"Florence","Ramirez",1,6
794,"Florence","Ramirez",2,18
794,"Florence","Ramirez",3,48
794,"Florence","Ramirez",4,151
794,"Florence","Ramirez",5,378
815,"Deborah","Brown",0,10
815,"Deborah","Brown",1,37
815,"Deborah","Brown",2,94
815,"Deborah","Brown",3,240
815,"Deborah","Brown",4,496
815,"Deborah","Brown",5,762
972,"Jesse","Parker",0,2
972,"Jesse","Parker",1,7
972,"Jesse","Parker",2,20
972,"Jesse","Parker",3,50
972,"Jesse","Parker",4,138
972,"Jesse","Parker",5,336
995,"Jose","Mitchell",0,2
995,"Jose","Mitchell",1,9
995,"Jose","Mitchell",2,20
995,"Jose","Mitchell",3,51
995,"Jose","Mitchell",4,124
995,"Jose","Mitchell",5,324
